ID	ref_short	DOI	reference	lat	long	locality	country	BrazilState	DO	marked	LT	herbarium	feces	ground.survey	species	Nindiv	Ntraps	trapsurface	studylength	frequency	peak	vegetation	biome	trees	shrubs	herbs	liana	others
141	Palma et al.  2011	10.1002/ajp.20973	Palma, Ana Cristina , Velez, Adriana, Gomez-Posada, Carolina, Lopez, Harrison, Zarate, Diego A. and Stevenson, Pablo R. (2011). Use of Space, Activity Patterns, and Foraging Behavior of Red Howler Monkeys (Alouatta seniculus) in an Andean Forest Fragment in Colombia. American Journal of Primatology 73(10): 1062-1071.	3.877222	-76.429444	Yotoco Reserve	Colombia	NA	yes	marked	no	no	no	no	50	227	NA	NA	12	biweekly	dry season	montane formations	1	yes	no	no	no	no
142	Palminteri & Peres 2012	10.1111/j.1600-0706.2012.20456.x	Palminteri, S., Powell, G. V. and Peres, C. A. (2012). Advantages of granivory in seasonal environments: feeding ecology of an arboreal seed predator in Amazonian forests. Oikos 121(11): 1896-1904.	-12.569167	-70.111111	Los Amigos Biological Station	Peru	NA	yes	marked	no	no	no	no	129	573	NA	NA	39	monthly	transition dry to wet season	rainforest	1	yes	no	no	no	no
143	Pedrao & Stranghetti 2001		Pedrão, Ionária I. and Stranghetti, V. (2001). Considerações sobre a floração e frutificação das espécies arbóreas, arbustivas, herbáceas e lianas de um trecho do Riberão Borá, Potinderaba - SP, Brasil. Revista del Jardín Botánico Nacional 22(2): 215-219.	-21.042778	-49.460556	Bora	Brazil	Sao Paulo	yes	unmarked	no	no	no	no	20	NA	NA	NA	18	monthly	transition dry to wet season	seasonally flooded forests	7	yes	yes	yes	yes	no
144	Peetz 2001		Peetz, Angela (2001). Ecology and social organization of the bearded saki Chiropotes satanas chiropotes (primates: pitheciinae) in Venezuela. Ecotropical Monographs, No. 1.	7.358525	-62.875556	Danto Machado	Venezuela	NA	yes	marked	no	no	no	no	24	178	NA	NA	12	monthly	aseasonal	rainforest	1	yes	no	no	no	no
145	Penhalber & Mantovani 1997	10.1590/S0100-84041997000200011	Penhalber, E. and Mantovani, W. (1997). Flowering and seed rain in a secondary forest in São Paulo, southeastern Brazil. Revista Brasileira de Botânica 20(2): 205-220.	-23.633333	-46.6	Fontes do Ipiranga	Brazil	Sao Paulo	no		yes	no	no	no	90	NA	40	0.025	12	monthly	rainy season	rainforest	1	yes	yes	yes	yes	no
146	Pereira et al. 2008		Pereira, T.S., Costa, M.L.M.N., Moraes, L.F. and Luchiari, C. (2008). Fenologia de espécies arbóreas em Floresta Atlântica da Reserva Biológica de Poço das Antas, Rio de Janeiro, Brasil. Iheringia 63(2): 329-339.	-22.5	-42.25	Poço das Antas (RJ)	Brazil	Rio de Janeiro	yes	marked	no	no	no	no	58	NA	NA	NA	24	monthly	dry season	rainforest	1	yes	no	no	no	no
147	Peres 1994a	10.2307/2389114	Peres, C. A. (1994). Primate responses to phenological changes in an Amazonian terra-firme forest. Biotropica 26(1): 98-112.	-4.846	-65.268	Urucu River	Brazil	Amazonas	yes	marked	no	no	no	no	253	996	NA	NA	14	monthly	rainy season	rainforest	1	yes	yes	no	yes	hemiepífitas e treelets
148	Persson 2005		Persson, Viveca (2005). Effects of climatic seasonality on  reproductive phenology of tropical forest plants. Schools of Biological Sciences PhD. University of Aberdeen, Aberdeen.	-0.683333	-75.466667	Yasuni National Park	Ecuador	NA	no		yes	no	no	no	241	NA	200	0.57	180	biweekly	rainy season	rainforest	1	yes	yes	no	yes	no
149	Pessoa 2011	Thesis	Pessoa, Luciana M. (2011). Fenologia e chuva de sementes em um fragmento urbano de floresta atlântica em Pernambuco PhD. Universidade Federal Rural de Pernambuco, Recife. 83 pp.	-7.926111	-34.918056	Estaçao Ecológica do Caetes	Brazil	Pernambuco	yes	marked	no	no	no	no	123	580	NA	NA	24	20-day	transition dry to wet season	rainforest	14					
150	Pirani et al 2009	10.1590/S0102-33062009000400019	Pirani, F. R., Sanchez, M. and Pedroni, F. (2009). Phenology of a tree community in a cerrado sensu stricto, Barra do Garças, Mato Grosso state, Brasil. Acta Botanica Brasilica 23(4): 1096-1109.	-15.85	-52.266667	Parque Estadual da Serra Azul	Brazil	Mato Grosso	yes	marked	no	no	no	no	84	1221	NA	NA	24	monthly	rainy season	cerrado woodland	7	yes	no	no	no	no
151	Putz & Windsor 1987	10.2307/2388631	Putz, F. E. and Windsor, D. M. (1987). Liana phenology on Barro Colorado Island, Panama. Biotropica 19(4): 334-341.	9.15	-79.85	Barro Colorado Island	Panama	NA	yes	marked	no	no	no	no	69	68	NA	NA	12	biweekly	primary in dry season and secondary in rainy season	seasonal forest	1	yes	no	no	yes	no
152	Quirino 2006		Quirino, Zelma Glebya Maciel (2006). Fenologia, síndromes de polinização e dispersão e recursos florais de uma comunidade de caatinga no cariri paraibano. Vegetal Biology PhD. Universidade Federal de Pernambuco, Recife. 153 pp.	-7.479167	-36.905	Fazenda Almas	Brazil	Paraiba	yes	marked	no	no	no	no	46	368	NA	NA	24	biweekly	rainy season	desert and xeric shrublands	13	yes	no	no	yes	no
153	Ragusa-Netto 2004	10.1590/S1519-69842004000500017	Ragusa-Netto, J. (2004). Flowers, fruits, and the abundance of the yellow-chevroned parakeet (Brotogeris chiriri) at a gallery forest in the South Pantanal (Brazil). Brazilian Journal of Biology 64: 867-877.	-19.583333	-57.333333	Miranda River, Corumba	Brazil	Mato Grosso do Sul	yes	marked	no	no	no	no	29	370	NA	NA	24	monthly	primary peak in rainy season and secondary transition from wet to dry season	seasonally flooded forests	9	yes	no	no	no	no
154	Ragusa-Netto 2008a		Ragusa-Netto, J. (2008). Toco tucan feeding ecology and local abundance in a habit mosaic in the Brazilian Cerrado. Ornitologia Neotropical 19: 345-359.	-17.316667	-52.65	Emas National Park	Brazil	Goias	yes	marked	no	no	no	no	16	512	NA	NA	24	monthly	transition dry to wet season	cerrado woodland	7	yes	no	no	no	palms
155	Ragusa-Netto 2008b	10.1080/01650520701510859	Ragusa-Netto, J. (2008). Yellow-chevroned Parakeet (Brotogeris chiriri) abundance and canopy foraging at a dry forest in western Brazil. Studies on Neotropical Fauna and Environment 43(2): 99-105.	-19.216667	-58.566667	Urucum 	Brazil	NA	yes	marked	no	no	no	no	57	270	NA	NA	18	monthly	transition dry to wet season	tropical dry forest	9	yes	no	no	no	no
156	Ramírez  1997	Thesis	Ramírez, C. (1997). Fenología Reproductiva en 14 especies preferidas para alimentación por fauna cinegética en el bosque húmedo subtropical del Parque Nacional Tikel Petén, Guatemala.	17.225	-89.613333	Tikal	Guatemala	NA	yes	marked	no	no	no	no	14	140	NA	NA	13	biweekly	rainy season	rainforest	1	yes	no	no	no	no
157	Ramirez & Briceno 2011	10.1093/aobpla/plr014	Ramírez, N. and Briceño, H. (2011). Reproductive phenology of 233 species from four herbaceous–shrubby communities in the Gran Sabana Plateau of Venezuela. AoB Plants 2011: plr014 doi:10.1093/aobpla/plr014.	5.491111	-61.367936	Canaima, brad-leaved meadow	Venezuela	NA	yes	marked	no	no	no	no	94	NA	NA	NA	24	monthly	aseasonal	open grassy savanna	7	yes	yes	yes	no	parasitas/hemiparasitas
158	Ramirez & Briceno 2011	10.1093/aobpla/plr014	Ramírez, N. and Briceño, H. (2011). Reproductive phenology of 233 species from four herbaceous–shrubby communities in the Gran Sabana Plateau of Venezuela. AoB Plants 2011: plr014 doi:10.1093/aobpla/plr014.	5.491111	-61.367936	Canaima, savanna	Venezuela	NA	yes	marked	no	no	no	no	76	NA	NA	NA	24	monthly	aseasonal	open grassy savanna	7	yes	yes	yes	no	parasitas/hemiparasitas
159	Ramirez & Briceno 2011	10.1093/aobpla/plr014	Ramírez, N. and Briceño, H. (2011). Reproductive phenology of 233 species from four herbaceous–shrubby communities in the Gran Sabana Plateau of Venezuela. AoB Plants 2011: plr014 doi:10.1093/aobpla/plr014.	5.491111	-61.367936	Canaima, secondary bush	Venezuela	NA	yes	marked	no	no	no	no	98	NA	NA	NA	24	monthly	dry season	open grassy savanna	7	yes	yes	yes	no	parasitas/hemiparasitas
160	Ramirez & Briceno 2011	10.1093/aobpla/plr014	Ramírez, N. and Briceño, H. (2011). Reproductive phenology of 233 species from four herbaceous–shrubby communities in the Gran Sabana Plateau of Venezuela. AoB Plants 2011: plr014 doi:10.1093/aobpla/plr014.	5.491111	-61.367936	Canaima, shrubland	Venezuela	NA	yes	marked	no	no	no	no	160	NA	NA	NA	24	monthly	dry season	open grassy savanna	7	yes	yes	yes	no	parasitas/hemiparasitas
161	Ramirez & Brito 1987		Ramírez, N. and Brito, Y. (1987). Patterns of flowering and frutification in a swampy community, ˜Morichal˜ type (Calabozo, Edo Guarico, Venezuela). Acta Cientifica Venezolana 38(3): 376-381.	8.933333	-67.416667	Los Llanos	Venezuela	NA	yes	marked	no	no	no	no	25	250	NA	NA	12	monthly	transition dry to wet season	open grassy savanna	7	no	yes	yes	no	no
162	Ramirez 2002	10.3732/ajb.89.5.836	Ramírez, N. (2002). Reproductive phenology, life-forms and habitats of the Venezuelan Central Plain. American Journal of Botany 89(5): 836-842.	8.933333	-67.416667	Los Llanos	Venezuela	NA	yes	marked	no	no	no	no	171	NA	NA	NA	36	monthly	transition wet to dry season	open grassy savanna	7	yes	yes	yes	yes	hemiparasitas
163	Reys et al 2005	10.1590/S1676-06032005000300021	Reys, P., Galetti, M., Morellato, L. P. C. and Sabino, J. (2005). Fenologia reprodutiva e disponibilidade de frutos de espécies arbóreas em mata ciliar no rio formoso, Mato Grosso do Sul. Biota Neotropica 5(2).	-21.148	-56.413	MS, Rio formoso (Serra da Bodoquena)	Brazil	Mato Grosso do Sul	yes	marked	no	no	no	no	29	378	NA	NA	12	monthly	rainy season	seasonally flooded forests	7	yes	no	no	no	no
164	Reznik et al.  2012		Reznik, Gabriela , Prata de Assis Pires, Jakeline and Freitas, Leandro (2012). Efeito de bordas lineares na fenologia de espécies arbóreas zoocóricas em um remanescente de Mata Atlântica. Acta Botanica Brasilica 26(1): 65-73.	-22.458333	-42.037222	Reserva Biologica da União	Brazil	Rio de Janeiro	yes	marked	no	no	no	no	57	NA	NA	NA	24	monthly	dry season	rainforest	1	yes	no	no	no	no
165	Ribeiro 2011		Ribeiro, Éville Karina Maciel Delgado (2011). Fenologia e atributos reprodutivos de espécies ocorrentes em restinga no Maranhão. Vegetal Biology PhD. Univesidade Federal de Pernambuco, Recife. 107 pp.	-2.6425	-42.875	Lençois Maranhenses	Brazil	Maranhao	yes	marked	no	no	no	no	88	1167	NA	NA	24	monthly	aseasonal	rainforest	1	yes	yes	yes	yes	no
166	Rios et al. 2007		Rios, Margarita M., Kattan, G., Londoño, G. and Muñoz, Marcia C. (2007). Phenological patterns in a tropical Andean cloud forest. ATBC 2007 Meeting 1: 427.	4.719722	-75.033333	Otun-Quimbaya	Colombia	NA	yes	marked	no	no	no	no	139	507	NA	NA	24	monthly	rainy season	montane formations	1	yes	no	no	no	no
167	Rivas Romero et al. 2008		Rivas Romero, Javier Antípatro, Cóbar Carranza, Ana J., Eliu Letona, Jorge and Cruz Rocché, P. (2008). Densidad poblacional y fenología de las plantas alimenticias del pavo de cacho (Oreopsis derbianus G.R. Gray 1844) en el Parque Nacional de Chuwanimajuyu, Sololá.	14.660833	-91.264722	Chuwanimajuyu	Guatemala	NA	yes	marked	no	no	no	no	10	100	NA	NA	12	biweekly	non-available	rainforest	3	yes	no	no	no	no
168	Roldán & Larrea 2003		Roldán, A. I. and Larrea, D. M. (2003). Phenology of 14 zoochoric tree species in a Yungas forest of Bolivia. Ecología en Bolivia 38(2).	-16.25	-68.25	Cotapata	Bolivia	NA	yes	marked	no	no	no	no	14	70	NA	NA	24	monthly	rainy season	montane formations	10	yes	no	no	no	no
169	Rubim et al 2010	10.1590/S0102-33062010000300019	Rubim, P., Nascimento, H. E. M. and Morellato, L. P. C. (2010). Interannual variation in the phenology of a tree community in a semideciduous seasonal forest in southeast Brazil. Acta Botanica Brasilica 24(3): 756-764.	-22.416	-47.514	Mata Sao Jose, SP	Brazil	Sao Paulo	yes	marked	no	no	no	no	90	332	NA	NA	48	monthly	dry season	seasonal forest	1	yes	no	no	no	no
170	Sabatier 1985		Sabatier, D. (1985). Fruiting periodicity and its determinants in a lowland rain-forest of French-Guiana. Revue D Ecologie-La Terre Et La Vie 40(3): 289-320.	5.000072	-53.000186	Piste Saint Elie	French Guiana	NA	yes	unmarked	no	no	no	no	132	1926	NA	NA	21	biweekly	rainy season	rainforest	1	yes	yes	no	no	no
171	Salazar et al 2012	10.1007/s11258-011-9973-4	Salazar, A., Goldstein, G., Franco, A. C. and Miralles-Wilhelm, F. (2012). Seed limitation of woody plants in Neotropical savannas. Plant Ecology 213(2): 273-287.	-15.933	-47.05	IBGE, cerrado denso	Brazil	Goias	no		yes	no	no	no	26	NA	108	0.38	13	monthly	transition dry to wet season	cerrado woodland	7	x	x	no	x	x
172	Salazar et al 2012	10.1007/s11258-011-9973-4	Salazar, A., Goldstein, G., Franco, A. C. and Miralles-Wilhelm, F. (2012). Seed limitation of woody plants in Neotropical savannas. Plant Ecology 213(2): 273-287.	-15.933	-47.05	IBGE, cerrado sensu stricto	Brazil	Goias	no		yes	no	no	no	30	NA	108	0.38	13	monthly	transition dry to wet season	cerrado woodland	7	x	x	no	x	x
173	Salazar et al 2012	10.1007/s11258-011-9973-4	Salazar, A., Goldstein, G., Franco, A. C. and Miralles-Wilhelm, F. (2012). Seed limitation of woody plants in Neotropical savannas. Plant Ecology 213(2): 273-287.	-15.933	-47.05	IBGE, campo sujo	Brazil	Goias	no		yes	no	no	no	25	NA	108	0.38	13	monthly	dry season	open grassy savanna	7	x	x	no	x	x
174	Santana et al 2010	10.1590/S0104-77602010000400018	Santana, O. A., Encinas, J. I., Silveira, F. L. D. and Ribeiro, G. S. (2010). Litterfall production in gallery and mesophytic forest, in Garapa Doline, Federal District, Brazil. Cerne 16(4): 585-596.	-15.505278	-48.105	Dolina da Garapa	Brazil	Distrito Federal	no		yes	no	no	no	10	NA	100	1	24	monthly	rainy season	tropical dry forest	7	x	x	x	x	x
175	Santos et al.  2013	10.1590/S1676-06032013000300019	da Silva Doratti dos Santos, Gisele Aparecida, Bianchini, Edmilson and dos Reis, Nelio Roberto (2013). Seasonal variation of consumption of the species used as fruit source by brown howler monkeys (Alouatta clamitans) in southern Brazil. Biota Neotropica 13(3): 148-153.	-23.266667	-51.05	Doralize Farm, Paraná	Brazil	Parana	yes	unmarked	no	no	yes	no	11	NA	NA	NA	12	weekly	aseasonal	seasonal forest	1					
176	Schöngart et al 2002	10.1017/s0266467402002389	Schöngart, J., Piedade, M. T. F., Ludwigshausen, S., Horna, V. and Worbes, M. (2002). Phenology and stem-growth periodicity of tree species in Amazonian floodplain forests. Journal of Tropical Ecology 18: 581-597.	-3.25	-59.966667	Ilha da Marchaneria	Brazil	Amazonas	yes	marked	no	no	no	no	23	66	NA	NA	27	monthly	transition wet to dry season	seasonally flooded forests	1	yes	no	no	no	no
177	Setz 1993	Thesis	Setz, E. Z. F. (1993). Ecologia alimentar de um grupo de Parauacus (Pithecia pithecia chrysocephala) em um fragmento forestal na Amazônia Central.  PhD: 237.	-2.416667	-59.833333	Biological Dynamics of Forest Fragments Project, Manaus 	Brazil	Amazonas	yes	marked	no	no	no	no	552	1080	NA	NA	24	irregular	rainy season	rainforest	1	yes	no	no	no	no
178	Silberbauer-Gottsberger 2001		Silberbauer-Gottsberger, I. (2001). A hectare of cerrado. II. Flowering and fruiting of thick-stemmed woody species. Phyton-Annales Rei Botanicae 41(1): 129-158.	-22.75	-48.430556	Botucatu	Brazil	Sao Paulo	yes	marked	no	no	no	no	26	NA	NA	NA	12	biweekly	rainy season	cerrado woodland	7	x	x	no	x	x
179	Silva et al 2009	10.1590/S0100-84042009000100015	Silva, I. A. S., Cianciruso, M. V. and Batalha, M. A. (2009). Dispersal modes and fruiting periods in hyperseasonal and seasonal savannas, central Brazil. Revista Brasileira de Botânica 32(1): 155-163.	-18.301944	-52.951667	Emas National Park, hyperseasonal cerrado	Brazil	Mato Grosso do Sul	yes	marked	no	no	no	no	64	2353	NA	NA	12	bimonthly	rainy season	open grassy savanna	7	yes	yes	yes	no	no
180	Silva et al 2009	10.1590/S0100-84042009000100015	Silva, I. A. S., Cianciruso, M. V. and Batalha, M. A. (2009). Dispersal modes and fruiting periods in hyperseasonal and seasonal savannas, central Brazil. Revista Brasileira de Botânica 32(1): 155-163.	-18.292778	-52.97	Emas National Park, seasonal cerrado	Brazil	Goias	yes	marked	no	no	no	no	109	3327	NA	NA	12	bimonthly	rainy season	open grassy savanna	7	yes	yes	yes	no	no
181	Silva et al 2011	10.1007/s13595-011-0071-5	Silva, I. A., Silva, D. M., Carvalho, G. H. and Batalha, M. A. (2011). Reproductive phenology of Brazilian savannas and riparian forests: environmental and phylogenetic issues. Annals of Forest Science 68(7): 1207-1215.	-21.966667	-47.85	Sao Carlos, cerrado	Brazil	Sao Paulo	yes	marked	no	no	no	no	196	NA	NA	NA	12	monthly	rainy season	cerrado woodland	7	yes	yes	yes	yes	palmeiras
182	Silva et al 2011	10.1007/s13595-011-0071-5	Silva, I. A., Silva, D. M., Carvalho, G. H. and Batalha, M. A. (2011). Reproductive phenology of Brazilian savannas and riparian forests: environmental and phylogenetic issues. Annals of Forest Science 68(7): 1207-1215.	-21.966667	-47.85	Sao Carlos, swamp	Brazil	Sao Paulo	yes	marked	no	no	no	no	97	NA	NA	NA	12	monthly	rainy season	seasonally flooded forests	7	yes	yes	yes	yes	palmeiras
183	Silverio & Lenza 2010	10.1590/S1676-06032010000300024	Silvério, D. V. and Lenza, E. (2010). Phenology of woody species in a typical cerrado in the Bacaba Municipal Park, Nova Xavantina, Mato Grosso, Brazil. Biota Neotropica 10(3): 205-216.	-14.685833	-52.335833	PM Bacaba	Brazil	Mato Grosso	yes	marked	no	no	no	no	12	NA	NA	NA	12	biweekly	transition dry to wet season	cerrado woodland	7	yes	yes	no	no	no
184	Snow 1965	http://www.jstor.org/stable/3565124	Snow, D. W. (1965). A possible selective factor in evolution of fruiting seasons in tropical forest. Oikos 15(2): 274-281.	10.666667	-61.25	Arima Valley	Trinidad and Tobago	NA	yes	marked	no	no	no	no	40	NA	NA	NA	36	sporadic across 2 years	rainy season	rainforest	1	yes	yes	no	no	no
185	Solorzano et al. 2000	10.1111/j.1744-7429.2000.tb00498.x	Solorzano, S., Castillo, S., Valverde, T. and Avila, L. (2000). Quetzal abundance in relation to fruit availability in a cloud forest in southeastern Mexico. Biotropica 32(3): 523-532.	15.655556	-92.813889	El Triunfo	Mexico	NA	yes	marked	no	no	no	no	20	NA	NA	NA	24	monthly	dry season	montane formations	1	yes	no	no	no	no
186	Souza-Alves et al. 2011		Souza-Alves, Joao Pedro, Fontes, Isadora P., Chagas, Renata R. D. and Ferrari, Stephen F. (2011). Seasonal Versatility in the Feeding Ecology of a Group of Titis (Callicebus coimbrai) in the Northern Brazilian Atlantic Forest. American Journal of Primatology 73(12): 1199-1209.	-11.2	-37.233333	Itaporanga d'Ajuda (Sergipe)	Brazil	Sergipe	yes	marked	no	no	no	no	14	NA	NA	NA	13	monthly	dry season	tropical dry forest	1	yes	no	no	no	no
187	Spina et al 2001	10.1590/S0102-33062001000300006	Spina, A. P., Ferreira, W. M. and Leitão-Filho, H. F. (2001). Flowering, fruiting and dispersal syndromes of a wet forest community. Acta Botanica Brasilica 15(3): 349-368.	-22.831944	-47.109167	Campinas	Brazil	Sao Paulo	yes	unmarked	no	no	no	no	134	NA	NA	NA	12	monthly	dry season	seasonally flooded forests	1	yes	yes	yes	yes	no
188	Staggemeier & Morellato 2011	10.1007/s00484-011-0482-x	Staggemeier, V. G. and Morellato, L. P. C. (2011). Reproductive phenology of coastal plain Atlantic forest vegetation: comparisons from seashore to foothills. International Journal of Biometeorology 55(6): 843-854.	-25.103	-47.913	Parque Estadual da Ilha do Cardoso, foothill	Brazil	Sao Paulo	yes	marked	no	no	no	no	106	1027	NA	NA	24	monthly	transition dry to wet season	rainforest	1	yes	yes	no	no	no
189	Stevenson et al 1998	10.1111/j.1744-7429.1998.tb00376.x	Stevenson, P. R., Quinones, M. J. and Ahumada, J. A. (1998). Annual variation in fruiting pattern using two different methods in a lowland tropical forest, Tinigua National Park, Colombia. Biotropica 30(1): 129-134.	2.666	-74.166	Tinigua National Park	Colombia	NA	yes	unmarked	yes	no	no	no	20	NA	300	0.08	13	biweekly	rainy season	rainforest	1	yes	no	no	no	no
190	Stutz de Ortega 1986		Stutz de Ortega, L. C. (1986). Etudes floristiques de divers stades secondaires des formations forestières du Haut Parana (Paraguay oriental). Floraison, fructification et dispersion des espèces forestières. Candollea 41(1): 121-144.	-25.523811	-54.812719	Alto Parana	Paraguay	NA	yes	marked	no	no	no	no	110	NA	NA	NA	52	irregular	rainy season	seasonal forest	1	yes	no		no	no
191	Swamy et al. unpublished	unpublished		-11.75	-71.5	Cocha Cashu	Peru	NA	yes	marked	no	no	no	no	103	407	NA	NA	30	biweekly	non-available	rainforest	1					
192	Talora & Morellato 2000	10.1590/S0100-84042000000100002	Talora, D. C. and Morellato, P. C. (2000). Phenology of coastal-plain forest tree species from Southeastern Brazil. Revista Brasileira de Botânica 23(1): 13-26.	-23.366	-44.833	Picinguaba	Brazil	Sao Paulo	yes	marked	no	no	no	no	46	296	NA	NA	12	monthly	rainy season	rainforest	1	yes	no	no	no	no
193	Tannus et al 2006	10.1590/S1676-06032006000300008	Tannus, J. L. S., Assis, M. A. and Morellato, L. P. C. (2006). Reproductive phenology in dry and wet grassland in an area of Cerrado at Southeastern Brazil, Itirapina - SP. Biota Neotropica 6(3).	-22.175	-47.873	Itirapina Ecological Station	Brazil	Sao Paulo	no		no	yes	no	no	367	1257	NA	NA	12	sporadic across 22 years	transition wet to dry season	cerrado woodland	7	yes	yes	yes	no	no
194	ter Steege & Persaud 1991	10.1007/BF00045216	ter Steege, H. and Persaud, C. A. (1991). The phenology of Guyanese timber species - a compilation of a century of observations. Vegetatio 95(2): 177-198.	6.8	-58.133333	entire Guyana	Guyana	NA	no		no	yes	yes	no	190	NA	NA	NA	24	sporadic across 100 years	dry season	rainforest	1	yes	yes	no	no	no
195	Terborgh 1983		Terborgh, J. (1983). The Study Site: Its Climate and Vegetation. Monographs in behavior and ecologyFive New World Primates. A study in comparative ecology.: 8-24.	-11.75	-71.5	Cocha Cashu	Peru	NA	no		yes	no	no	no	25	NA	50	0.08	60	biweekly	rainy season	rainforest	1	yes	yes	no	yes	no
196	Thomas 1999	Thesis	Thomas, R. (1999). Forest Productivity and Resource Availability in Lowland Tropical Forests of Guyana.  PhD.	5.216667	-58.8	Mabura Hill	Guyana	NA	no		yes	no	no	no	123	NA	225	1	24	weekly	rainy season	rainforest	1	yes	no	no	yes	no
197	Tobler et al 2010	10.1111/j.1744-7429.2009.00549.x	Tobler, M. W., Janovec, J. P. and Cornejo, F. (2010). Frugivory and seed dispersal by the lowland tapir Tapirus terrestris in the Peruvian Amazon. Biotropica 42(2): 215-222.	-12.569167	-70.111111	Los Amigos Biological Station	Peru	NA	yes	marked	no	no	no	no	239	1195	NA	NA	65	monthly	rainy season	rainforest	1	no	yes	yes	yes	no
198	Toriola 1998	10.1017/s0266467498000285	Toriola, D. (1998). Fruiting of a 19-year old secondary forest in French Guiana. Journal of Tropical Ecology 14: 373-379.	5.000072	-53.000186	Piste Saint Elie	French Guiana	NA	no		yes	no	no	no	17	NA	100	1	12	monthly	dry season	rainforest	1	yes	no	no	yes	no
199	Tugues 1982		TUGUES, JL (1982). Fenologia de un bosque deciduo tropical, situado en la región de Charallave, Estado Miranda.  Bachelor: 321.	10.243056	-66.862222	Charavalle	Venezuela	NA	yes	marked	no	no	no	no	130	650	NA	NA	24	unespecified	non-available	tropical dry forest	13					
200	Vasconcelos et al 2010	10.1007/s10531-010-9841-x	Vasconcelos, S. F., Araújo, F. S. and Lopes, A. V. (2010). Phenology and dispersal modes of wood species in the Carrasco, a tropical deciduous shrubland in the Brazilian semiarid. Biodiversity and Conservation 19(8): 2263-2289.	-5.145833	-40.931389	Serra das Almas	Brazil	NA	yes	marked	no	no	no	no	39	2790	NA	NA	12	monthly	transition dry to wet season	desert and xeric shrublands	13	yes	yes	no	no	no
201	Vath 2008	Thesis	Vath, Carrie L. (2008). Species Richness and Habitat Preference of Large Vertebrate in the Central Suriname Nature Reserve.  MSc: 53.	4.677778	-56.181111	Raleighvallen	Suriname	NA	yes	marked	no	no	no	no	99	229	NA	NA	60	monthly	dry season	rainforest	1	yes	no	no	no	no
202	Vílchez et al 2007		Vílchez, B., Chazdon, R. and Alvarado, W. (2007). Reproductive phenology of canopy and emergent species in six forests of the North Huetar Region of Costa Rica. Kurú: Revista Forestal Costa Rica 4(10): 1-16.	10.422	-84.015	La Selva	Costa Rica	NA	yes	marked	no	no	no	no	73	887	NA	NA	12	monthly	rainy season	rainforest	1	yes	yes	no	no	no
203	Vílchez et al 2008		Vílchez, B., Chazdon, R. and Alvarado, W. (2008). Reproductive phenology of canopy tree species in secondary and mature forests of Huetar Norte, Costa Rica and their influence on forest regeneration. Kurú: Revista Forestal Costa Rica 5(15): 1-18.	10.422	-84.015	La Selva	Costa Rica	NA	yes	marked	no	no	no	no	161	2152	NA	NA	29	monthly	dry season	rainforest	1	yes	yes	no	no	no
204	Villamajo & Menendez 1988		Villamajó, D. and Menéndez, Leda (1988). Fenologia de algunas especies importantes en Sierra del Rosario. Ecología de los bosques siempreverdes de la Sierra del Rosario, Cuba : Proyecto MAB nº 1, 1974-1987.	22.878056	-82.968889	Sierra del Rosario, Estación Ecológica del Salón	Cuba	NA	yes	marked	no	no	no	no	15	75	NA	NA	108	monthly	dry season	rainforest	1	yes	no	no	no	no
205	Vreedzaam 2008		Vreedzaam, A. (2008). Establishing a baseline record: climate and phenology at the Brownsberg Nature Park, Suriname. Annual Meeting of the Association for Tropical Biology and Conservation 2008 1: 268.	4.944722	-55.197778	Brownsberg Nature Park	Suriname	NA	yes	marked	no	no	no	no	45	450	NA	NA	27	biweekly	rainy season	rainforest	1	yes	no	no	no	no
206	Wallace & Painter 2002	10.1016/s0378-1127(00)00723-4	Wallace, R. B. and Painter, R. L. E. (2002). Phenological patterns in a southern Amazonian tropical forest: implications for sustainable management. Forest Ecology and Management 160(1-3): 19-33.	-13.6	-60.916667	Lago Caiman,  cerrado	Bolivia	NA	yes	marked	no	no	no	no	24	76	NA	NA	12	monthly	dry season	tropical dry forest	1	yes	no	no	no	no
207	Wallace & Painter 2002	10.1016/s0378-1127(00)00723-4	Wallace, R. B. and Painter, R. L. E. (2002). Phenological patterns in a southern Amazonian tropical forest: implications for sustainable management. Forest Ecology and Management 160(1-3): 19-33.	-13.6	-60.916667	Lago Caiman,  low vine forest	Bolivia	NA	yes	marked	no	no	no	no	92	261	NA	NA	14	monthly	rainy season	rainforest	1	yes	no	no	no	no
208	Wallace & Painter 2002	10.1016/s0378-1127(00)00723-4	Wallace, R. B. and Painter, R. L. E. (2002). Phenological patterns in a southern Amazonian tropical forest: implications for sustainable management. Forest Ecology and Management 160(1-3): 19-33.	-13.6	-60.916667	Lago Caiman,  peid mont forest	Bolivia	NA	yes	marked	no	no	no	no	78	173	NA	NA	16	monthly	rainy season	rainforest	1	yes	no	no	no	no
209	Wallace & Painter 2002	10.1016/s0378-1127(00)00723-4	Wallace, R. B. and Painter, R. L. E. (2002). Phenological patterns in a southern Amazonian tropical forest: implications for sustainable management. Forest Ecology and Management 160(1-3): 19-33.	-13.6	-60.916667	Lago Caiman,  swamp forest	Bolivia	NA	yes	marked	no	no	no	no	71	255	NA	NA	15	monthly	transition wet to dry season	seasonally flooded forests	1	yes	no	no	no	no
