ECO_ID	eco_id2	eco_name	area	sp_wfig	sp_range	data_sit	comments
81019	PA1019	Tian Shan montane steppe and meadow	280130	3000	2500-3500	2	
81020	PA1020	Tibetan Plateau alpine shrublands and meadows	272121	1400	900-1800	3	
81021	PA1021	Western Himalayan alpine shrub and Meadows	70164	1500	1000-2000	3	
81022	PA1022	Yarlung Zambo arid steppe	59459	1000	500-1700	4	
81101	PA1101	Arctic desert	161431	200	160-230	2	
81102	PA1102	Bering tundra	474246	950	850-1100	2	
81103	PA1103	Cherskii-Kolyma mountain tundra	556708	450	350-600	3	
81104	PA1104	Chukchi Peninsula tundra	298361	950	800-1100	2	
81105	PA1105	Kamchatka Mountain tundra and forest tundra	119299	300	200-500	3	
81106	PA1106	Kola Peninsula tundra	58758	500	400-600	3	
81107	PA1107	Northeast Siberian coastal tundra	222579	550	500-650	2	
81108	PA1108	Northwest Russian-Novaya Zemlya tundra	284227	550	450-650	2	
81109	PA1109	Novosibirsk Islands arctic desert	36943	120	100-150	2	
81110	PA1110	Scandinavian Montane Birch forest and grasslands	243238	1000	800-1200	3	
81111	PA1111	Taimyr-Central Siberian tundra	954703	650	550-750	2	
81112	PA1112	Trans-Baikal Bald Mountain tundra	217566	500	300-700	3	
81113	PA1113	Wrangel Island arctic desert	7542	387	387	1	
81114	PA1114	Yamalagydanskaja tundra	412099	450	350-550	2	
81201	PA1201	Aegean & Western Turkey sclerophyllous and mixed forests	133458	2500	2000-3000	3	
81202	PA1202	Anatolian conifer and deciduous mixed forests	86319	2400	1800-3000	3	
81203	PA1203	Canary Islands dry woodlands and forests	4973	1130	1050-1200	2	
81204	PA1204	Corsican montane broadleaf and mixed forests	3628	1800	1600-2100	3	
81205	PA1205	Crete Mediterranean forests	8193	1600	1500-1700	2	
81206	PA1206	Cyprus Mediterranean forests	9273	1500	1000-1700	2	
81207	PA1207	Eastern Mediterranean conifer-sclerophyllous-broadleaf forests	143838	3200	2700-3800	3	
81208	PA1208	Iberian conifer forests	34424	3200	3000-3500	3	
81209	PA1209	Iberian sclerophyllous and semi-deciduous forests	297650	2500	2100-2900	2	
81210	PA1210	Illyrian deciduous forests	40573	2800	2200-3500	3	
81211	PA1211	Italian sclerophyllous and semi-deciduous forests	102047	3300	3000-3600	3	
81212	PA1212	Mediterranean acacia-argania dry woodlands and succulent thickets	100524	1600	1200-2000	3	
81213	PA1213	Mediterranean dry woodlands and steppe	291667	1200	900-1400	3	
81214	PA1214	Mediterranean woodlands and forests	357943	1500	1000-2000	3	
81215	PA1215	Northeastern Spain & Southern France Mediterranean forests	90697	2800	2200-3400	3	
81216	PA1216	Northwest Iberian montane forests	57322	1400	1000-1800	4	
81217	PA1217	Pindus Mountains mixed forests	39538	4000	3200-4500	3	
81218	PA1218	South Appenine mixed montane forests	13083	2100	1700-2500	4	
81219	PA1219	Southeastern Iberian shrubs and woodlands	2867	400	300-700	3	
81220	PA1220	Southern Anatolian montane conifer and deciduous forests	76450	4000	3500-4500	2	
81221	PA1221	Southwest Iberian Mediterranean sclerophyllous and mixed forests	71077	2600	2300-2900	2	
81222	PA1222	Tyrrhenian-Adriatic Sclerophyllous and mixed forests	85000	3300	3000-3600	3	
81301	PA1301	Afghan Mountains semi-desert	13683	600	400-1000	4	
81302	PA1302	Alashan Plateau semi-desert	673397	700	500-900	2	
81303	PA1303	Arabian Desert and East Sahero-Arabian xeric shrublands	1851340	900	600-1200	3	
81304	PA1304	Atlantic coastal desert	39891	300	200-500	3	
81305	PA1305	Azerbaijan shrub desert and steppe	64015	1500	1000-2000	3	
81306	PA1306	Badkhiz-Karabil semi-desert	133607	1100	1000-1300	2	
81307	PA1307	Baluchistan xeric woodlands	288749	2000	1500-2700	3	
81308	PA1308	Caspian lowland desert	267291	700	500-1000	3	
81309	PA1309	Central Afghan Mountains xeric woodlands	139397	1700	1000-2400	3	
81310	PA1310	Central Asian northern desert	662391	800	700-1000	3	
81311	PA1311	Central Asian riparian woodlands	88631	900	700-1200	2	
81312	PA1312	Central Asian southern desert	566691	900	800-1100	2	
81313	PA1313	Central Persian desert basins	580892	1300	1100-1500	2	
81314	PA1314	Eastern Gobi desert steppe	281806	400	200-700	3	
81315	PA1315	Gobi Lakes Valley desert steppe	139384	400	200-700	4	
81316	PA1316	Great Lakes Basin desert steppe	157209	600	550-900	3	
81317	PA1317	Junggar Basin semi-desert	304203	1200	700-1700	4	
81318	PA1318	Kazakh semi-desert	678389	800	600-1200	3	
81319	PA1319	Kopet Dag semi-desert	26268	700	500-1000	4	
81320	PA1320	Mesopotamian shrub desert	210974	1100	800-1500	3	
81321	PA1321	North Saharan steppe and woodlands	1675268	1150	1100-1200	1	
81322	PA1322	Paropamisus xeric woodlands	92594	1300	800-1800	3	
81323	PA1323	Persian Gulf desert and semi-desert	72640	350	300-400	2	
81324	PA1324	Qaidam Basin semi-desert	192042	250	200-500	2	
81325	PA1325	Red Sea Nubo-Sindian tropical desert and semi-desert	651263	900	700-1100	3	
81326	PA1326	Registan-North Pakistan sandy desert	277298	700	400-1000	4	
81327	PA1327	Sahara desert	4639920	500	450-550	1	
81328	PA1328	South Iran Nubo-Sindian desert and semi-desert	351453	900	500-1300	4	
81329	PA1329	South Saharan steppe and woodlands	1101734	500	400-700	3	
81330	PA1330	Taklimakan desert	741857	400	200-800	3	
81331	PA1331	Tibesti-Jebel Uweinat montane xeric woodlands	82237	580	570-620	2	
81332	PA1332	West Saharan montane xeric woodlands	258071	550	500-700	2	
